Uploaded Image URL,Author,"Author (Last, First)",Title,Subtitle,Genre,Rating,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Publisher,Status,Notes,Edition,Date Published,Length,Format,Dimensions,Weight,ISBN,Physical Location,Date Added,Date Started,Date Finished,Purchase Date,Purchase Place,Purchase Price,List Price,Google VolumeID,Favorites,Wish List,Category,Series,Volume,Quantity,Summary,Tags
,Herman Melville,"Melville, Herman",Clarel,A Poem and Pilgrimage in the Holy Land,Literary Criticism,0,,,,,Northwestern University Press,Unread,,,,,,,,9780810125407,,2014/03/03,,,,,,,uwJ_7a2pIGsC,0,0,,,,,,
,Aaron Hillegass,"Hillegass, Aaron",Cocoa Programming for Mac OS X,,Computers,0,,,,,Addison-Wesley,Unread,,,,,,,,9780321213143,,2014/03/02,,,,,,,b8baAAAAMAAJ,0,0,,,,,,
,Charles Petzold,"Petzold, Charles",Code,the hidden language of computer hardware and software,Computers,0,,,,,Microsoft Press,Unread,,,,,,,,9780735611313,,2014/03/02,,,,,,,gYlQAAAAMAAJ,0,0,,,,,,
,Diomidis Spinellis,"Spinellis, Diomidis",Code Reading,The Open Source Perspective,Computers,0,,,,,Addison-Wesley Professional,Unread,,,,,,,,9780201799408,,2014/03/02,,,,,,,pqw2U-lI5lwC,0,0,,,,,,
,Lisa Jackson,"Jackson, Lisa",Cold Blooded,,Fiction,0,,,,,Zebra Books,Unread,,,,,,,,9780821769348,,2014/03/02,,,,,,,d2C_BadQGIwC,0,0,,,,,,
,Daniel Mario Abondolo,"Abondolo, Daniel Mario",Colloquial Finnish,The Complete Course for Beginners,Foreign Language Study,0,,,,,Psychology Press,Unread,,,,,,,,9780415113892,,2014/04/01,,,,,,,1nfnjhQN4uwC,0,0,,,,,,
,"Zippi Lyttleton, Tamar Wang","Lyttleton, Zippi",Colloquial Hebrew,The Complete Course for Beginners,,0,,,,,Routledge,Unread,,,,,,,,9780415240505,,2014/03/03,,,,,,,3d6nnQEACAAJ,0,0,,,,,,
,Michael Spivak,"Spivak, Michael","Combined Answer Book for Calculus, Third and Fourth Editions",,,0,,,,,Publish or Perish,Unread,,,,,,,,9780914098928,,2014/03/02,,,,,,,CDy7tgAACAAJ,0,0,,,,,,
,Judith Martin,"Martin, Judith",Common courtesy,in which Miss Manners solves the problem that baffled Mr. Jefferson,Reference,0,,,,,Atheneum,Unread,,,,,,,,9780689116520,,2014/04/01,,,,,,,Soeg_N-erYwC,0,0,,,,,,
,Guy L. Steele,"Steele, Guy L.",COMMON LISP,The Language,Computers,0,,,,,Digital Press,Unread,,,,,,,,9781555580414,,2014/03/02,,,,,,,FYoOIWuoXUIC,0,0,,,,,,
,"Nosson Scherman, Meir Zlotowitz","Scherman, Nosson",Complete ArtScroll siddur,,Judaism - Liturgy - Texts,0,,,,,Mesorah Publications,Unread,,,,,,,,9780899066509,,2014/04/02,,,,,,,gPARAQAAIAAJ,0,0,,,,,,
,"Jan van Eijck, Christina Unger","Eijck, Jan van",Computational Semantics with Functional Programming,,Computers,0,Tyler Cecil,,,,Cambridge University Press,Unread,,,,,,,,9781139490900,,2014/04/01,,,,,,,LLELhCq2L1IC,0,0,,,,,,
,"Michael R. Garey, D. S. Johnson","Garey, Michael R.",Computers and Intractability,A Guide to the Theory of NP-Completeness,Computers,0,,,,,W. H. Freeman,Unread,,,,,,,,9780716710455,,2014/03/03,,,,,,,fjxGAQAAIAAJ,0,0,,,,,,
,Dagobert David Runes,"Runes, Dagobert David",Concise Dictionary of Judaism,,Religion,0,,,,,"Greenwood Publishing Group, Incorporated",Unread,,,,,,,,9780837121093,,2014/04/02,,,,,,,_tnHQgAACAAJ,0,0,,,,,,
,John H. Reppy,"Reppy, John H.",Concurrent Programming in ML,,Computers,0,,,,,Cambridge University Press,Unread,,,,,,,,9780521714723,,2014/03/02,,,,,,,V_0CCK8wcJUC,0,0,,,,,,
,Neil Gillman,"Gillman, Neil",Conservative Judaism: The New Century,,,0,,,,,,Unread,,,,,,,,,,2014/04/02,,,,,,,J0U-JxuuuKYC,0,0,,,,,,
,Randy M. Kaplan,"Kaplan, Randy M.",Constructing language processors for little languages,,Computers,0,,,,,Wiley,Unread,,,,,,,,9780471597537,,2014/03/02,,,,,,,b6VQAAAAMAAJ,0,0,,,,,,
,"Joe Grimes, Barbara F. Grimes, Wycliffe Bible Translators","Grimes, Joe",Da Jesus Book,,Hawaii Creole English language,0,,,,,Wycliffe Bible Translators,Unread,,,,,,,,9780938978213,,2014/03/02,,,,,,,yKgQAQAAIAAJ,0,0,,,,,,
,Lao-tzu,Lao-tzu,Dao de Jing,,Philosophy,0,,,,,Hackett Publishing,Unread,,,,,,,,9780872202320,,2014/03/03,,,,,,,7dVZ_avGb-0C,0,0,,,,,,
,Staley Krause,"Krause, Staley",Death And Damnation,,,0,,,,,White Wolf,Unread,,,,,,,,,,2014/03/26,,,,,,,,0,0,,,,,,
,Patrick M. Lencioni,"Lencioni, Patrick M.",Death by Meeting,A Leadership Fable...About Solving the Most Painful Problem in Business,Business & Economics,0,,,,,Wiley,Unread,,,,,,,,9780787968052,,2014/04/01,,,,,,,Ke27NAEACAAJ,0,0,,,,,,
,"Christopher Collier, James Lincoln Collier","Collier, Christopher",Decision in Philadelphia,The Constitutional Convention of 1787,History,0,,,,,Ballantine Books,Unread,,,,,,,,9780345346520,,2014/04/01,,,,,,,elX_nQEACAAJ,0,0,,,,,,
,Lisa Jackson,"Jackson, Lisa",Deep Freeze,,Fiction,0,,,,,Kensington Publishing Corp.,Unread,,,,,,,,9781420114362,,2014/03/02,,,,,,,2SP_candIDcC,0,0,,,,,,
,Hermann Hesse,"Hesse, Hermann",Demian,,Fiction,0,,,,,HarperCollins,Unread,,,,,,,,9780060931919,,2014/03/09,,,,,,,FfuQqy6FQEoC,0,0,,,,,,
,"Richard Mitchell, Jim McKim","Mitchell, Richard","Design by contract, by example",,Computers,0,,,,,Addison Wesley,Unread,,,,,,,,9780201634600,,2014/03/02,,,,,,,ztEgAQAAIAAJ,0,0,,,,,,
,"Alan Shalloway, James Trott","Shalloway, Alan",Design Patterns Explained,A New Perspective on Object-oriented Design,Computers,0,,,,,Addison-Wesley Professional,Unread,,,,,,,,9780201715941,,2014/03/02,,,,,,,JPOaP7cyk6wC,0,0,,,,,,
,Carl G. Liungman,"Liungman, Carl G.",Dictionary of Symbols,,"Body, Mind & Spirit",0,,,,,Norton,Unread,,,,,,,,9780393312362,,2014/03/03,,,,,,,NHJUnZlGRooC,0,0,,,,,,
,René Descartes,"Descartes, René",Discourse on the method of rightly conducting one's reason and of seeking truth in the sciences,,Methodology,0,,,,,Hackett Pub. Co.,Unread,,,,,,,,9780915144839,,2014/03/03,,,,,,,-SIQAQAAIAAJ,0,0,,,,,,
,Veronica Roth,"Roth, Veronica",Divergent,,Juvenile Fiction,0,,,,,HarperCollins,Unread,,,,,,,,9780062024039,,2014/04/01,,,,,,,-TUinwEACAAJ,0,0,,,,,,
,Bob Stayton,"Stayton, Bob",DocBook XSL,The Complete Guide,Computers,0,,,,,Lightning Source Incorporated,Unread,,,,,,,,9780974152134,,2014/03/27,,,,,,,2-NRnwEACAAJ,0,0,,,,,,
,Helen Gaspard,"Gaspard, Helen",Doctor Dan the Bandage Man,,Juvenile Fiction,0,,,,,Random House Children's Books,Unread,,,,,,,,9780375828805,,2014/04/01,,,,,,,OA0HngEACAAJ,0,0,,,,,,
,"Miguel de Cervantes Saavedra, Charles William Eliot","Saavedra, Miguel de Cervantes",Don Quixote,The First Part of the Delightful History of the Most Ingenious Knight Don Quixote of the Mancha,Spanish fiction,0,,,,,P. F. Collier,Unread,,,,,,,,,,2014/04/01,,,,,,,7n8EAAAAYAAJ,0,0,,,,,,
,"Susie Martinez, Vanda Howell, Bonnie Garcia","Martinez, Susie",Don't Panic--Dinner's in the Freezer,Great-Tasting Meals You Can Make Ahead,Cooking,0,,,,,Revell,Unread,,,,,,,,9780800730550,,2014/04/01,,,,,,,sCqVEK5J78MC,0,0,,,,,,
,Michal Bali,"Bali, Michal",Drools Jboss Rules 5.0 Developer's Guide,Develop Rules-based Business Logic Using the Drools Platform,Computers,0,,,,,Packt Pub. Limited,Unread,,,,,,,,9781847195647,,2014/04/01,,,,,,,T3tsnAEACAAJ,0,0,,,,,,
,"Stéphane Ducasse, Lukas Renggli, C. David Shaffer, Rick Zaccone with Michael Davies","Davies, Stéphane Ducasse, Lukas Renggli, C. David Shaffer, Rick Zaccone with Michael",Dynamic Web Development with Seaside,,Open source software,0,,,,,Square Bracket Associates,Unread,,,,,,,,9783952334119,,2014/03/02,,,,,,,4tri6zluHnAC,0,0,,,,,,
,James E. Neal,"Neal, James E.",Effective Phrases for Performance Appraisals,A Guide to Successful Evaluations,Business & Economics,0,,,,,Neal Publications,Unread,,,,,,,,9781882423101,,2014/04/01,,,,,,,WpPgAAAAMAAJ,0,0,,,,,,
